name,name_id,company,company_id,in_board,in_supervisory,role,role_start_date,role_end_date
Jason Andersen,1704632,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Leader,2006-01-01,2007-01-01
Brian Morris,1705563,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Leader,2012-08-01,2013-12-01
Kris Lamb,1703242,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Director - Research/Development,2006-12-01,2010-02-01
Arie Matsliah,1711738,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Leader,2005-07-01,2012-09-01
Doctor Krishna Nathan,1709880,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Director - Systems,1999-01-01,2001-01-01
Doctor Krishna Nathan,1709880,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Vice President - Technology,2006-01-01,2007-01-01
Doctor Vijay Srinivasan,1706652,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Senior Engineer,1995-06-01,1998-04-01
Nancy Jamison,1711151,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Product Manager,1988-01-01,1994-01-01
Scott Gorton,1706434,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Various Positions,,1978-01-01
Bill Bodin,1707623,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Programmer,1991-02-01,1993-02-01
Andy Nicholas,1702914,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Various Positions,2011-01-01,2012-01-01
Shankar Venkataraman,1705993,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Program Director,2008-01-01,2015-02-01
Brendan Walsh,1704894,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Executive,1996-01-01,2000-01-01
Niels Jensen,1708686,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Sales Executive,2004-01-01,2007-12-01
Laurent Binard,1711693,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Marketing Director,1997-10-01,1999-03-01
Ganesh Venkitachalam,1708385,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Software Engineer,1999-06-01,2000-06-01
Katina Stefanova,1714480,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Director - Business Strategy,2000-01-01,2003-01-01
Andy Tran,1713990,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Various Positions,,
Greg Kaplan,1707752,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Various Positions,,
